1659250042.458791 server started (30538): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1659250042.458839 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Mon Feb 21 20:35:58 PST 2022; root:xnu-8020.101.4~2/RELEASE_ARM64_T6000
1659250042.458857 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1659250042.458921 input_key_build: 0x10e003 (PasteStart) is \033[200~
1659250042.458930 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1659250042.458939 input_key_build: 0x10e195 (F1) is \033OP
1659250042.458951 input_key_build: 0x10e196 (F2) is \033OQ
1659250042.458958 input_key_build: 0x10e197 (F3) is \033OR
1659250042.458965 input_key_build: 0x10e198 (F4) is \033OS
1659250042.458972 input_key_build: 0x10e199 (F5) is \033[15~
1659250042.458979 input_key_build: 0x10e19a (F6) is \033[17~
1659250042.458985 input_key_build: 0x10e19b (F7) is \033[18~
1659250042.458993 input_key_build: 0x10e19c (F8) is \033[19~
1659250042.459000 input_key_build: 0x10e19d (F9) is \033[20~
1659250042.459006 input_key_build: 0x10e19e (F10) is \033[21~
1659250042.459013 input_key_build: 0x10e19f (F11) is \033[23~
1659250042.459019 input_key_build: 0x10e1a0 (F12) is \033[24~
1659250042.459026 input_key_build: 0x10e1a1 (IC) is \033[2~
1659250042.459032 input_key_build: 0x10e1a2 (DC) is \033[3~
1659250042.459038 input_key_build: 0x10e1a3 (Home) is \033[1~
1659250042.459045 input_key_build: 0x10e1a4 (End) is \033[4~
1659250042.459051 input_key_build: 0x10e1a5 (NPage) is \033[6~
1659250042.459057 input_key_build: 0x10e1a6 (PPage) is \033[5~
1659250042.459064 input_key_build: 0x10e1a7 (BTab) is \033[Z
1659250042.459070 input_key_build: 0x10e1a8 (Up) is \033[A
1659250042.459077 input_key_build: 0x10e1a9 (Down) is \033[B
1659250042.459083 input_key_build: 0x10e1aa (Left) is \033[D
1659250042.459089 input_key_build: 0x10e1ab (Right) is \033[C
1659250042.459096 input_key_build: 0x10e1ac (KP/) is /
1659250042.459102 input_key_build: 0x10e1ad (KP*) is *
1659250042.459109 input_key_build: 0x10e1ae (KP-) is -
1659250042.459115 input_key_build: 0x10e1af (KP7) is 7
1659250042.459121 input_key_build: 0x10e1b0 (KP8) is 8
1659250042.459127 input_key_build: 0x10e1b1 (KP9) is 9
1659250042.459134 input_key_build: 0x10e1b2 (KP+) is +
1659250042.459140 input_key_build: 0x10e1b3 (KP4) is 4
1659250042.459146 input_key_build: 0x10e1b4 (KP5) is 5
1659250042.459153 input_key_build: 0x10e1b5 (KP6) is 6
1659250042.459159 input_key_build: 0x10e1b6 (KP1) is 1
1659250042.459166 input_key_build: 0x10e1b7 (KP2) is 2
1659250042.459172 input_key_build: 0x10e1b8 (KP3) is 3
1659250042.459179 input_key_build: 0x10e1b9 (KPEnter) is \n
1659250042.459185 input_key_build: 0x10e1ba (KP0) is 0
1659250042.459191 input_key_build: 0x10e1bb (KP.) is .
